D,1,1,296,323
D,1,2,297,330
D,1,3,295,320
D,1,4,293,321
D,1,5,291,327
D,1,6,292,334
D,1,7,289,325
D,1,8,290,332
D,2,1,284,383
D,2,2,282,380
D,2,3,280,375
D,2,4,281,376
D,2,5,288,373
D,2,6,287,374
D,2,7,286,371
D,2,8,285,372
D,3,1,269,363
D,3,2,258,362
D,3,3,267,364
D,3,4,283,366
D,3,5,260,365
D,3,6,262,367
D,3,7,271,368
D,3,8,264,369
D,4,1,272,377
D,4,2,274,370
D,4,3,273,379
D,4,4,275,381
D,4,5,277,378
D,4,6,276,382
D,4,7,279,329
D,4,8,278,358
D,5,1,263,354
D,5,2,270,353
D,5,3,261,356
D,5,4,268,355
D,5,5,259,357
D,5,6,266,359
D,5,7,256,361
D,5,8,257,360
D,6,1,308,349
D,6,2,307,350
D,6,3,310,351
D,6,4,309,352
D,6,5,312,345
D,6,6,311,344
D,6,7,316,346
D,6,8,319,348
D,7,1,305,324
D,7,2,304,326
D,7,3,303,335
D,7,4,301,328
D,7,5,302,347
D,7,6,300,331
D,7,7,298,322
D,7,8,299,333
D,8,1,294,342
D,8,2,265,343
D,8,3,318,340
D,8,4,314,341
D,8,5,317,336
D,8,6,315,338
D,8,7,306,337
D,8,8,313,339
U,1,1,424,451
U,1,2,425,458
U,1,3,423,448
U,1,4,421,449
U,1,5,419,455
U,1,6,420,462
U,1,7,417,453
U,1,8,418,460
U,2,1,412,511
U,2,2,410,508
U,2,3,408,503
U,2,4,409,504
U,2,5,416,501
U,2,6,415,502
U,2,7,414,499
U,2,8,413,500
U,3,1,397,491
U,3,2,386,490
U,3,3,395,492
U,3,4,411,494
U,3,5,388,493
U,3,6,390,495
U,3,7,399,496
U,3,8,392,497
U,4,1,400,505
U,4,2,402,498
U,4,3,401,507
U,4,4,403,509
U,4,5,405,506
U,4,6,404,510
U,4,7,407,457
U,4,8,406,486
U,5,1,391,482
U,5,2,398,481
U,5,3,389,484
U,5,4,396,483
U,5,5,387,485
U,5,6,394,487
U,5,7,384,489
U,5,8,385,488
U,6,1,436,477
U,6,2,435,478
U,6,3,438,479
U,6,4,437,480
U,6,5,440,473
U,6,6,439,472
U,6,7,444,474
U,6,8,447,476
U,7,1,433,452
U,7,2,432,454
U,7,3,431,463
U,7,4,429,456
U,7,5,430,475
U,7,6,428,459
U,7,7,426,450
U,7,8,427,461
U,8,1,422,470
U,8,2,393,471
U,8,3,446,468
U,8,4,442,469
U,8,5,445,464
U,8,6,443,466
U,8,7,434,465
U,8,8,441,467
